config_name,input_name,final_runtime_ms,overall_utilisation,master_utilisation,worker_utilisation,H,Nmin,Nmax,P
config8.sh,dipsy.in,2114,0.11235,0.00000,0.12507333333333334,5,1,4,0.25
config8.sh,dipsy.in,8533,0.26234,0.00000,0.29152999999999996,8,1,4,0.25
config2.sh,dipsy.in,2330,0.05570,0.00000,0.058479473684210526,5,1,4,0.25
config2.sh,dipsy.in,9302,0.13073,0.00000,0.13755526315789474,8,1,4,0.25
config2.sh,lala.in,28716,0.88876,0.00000,0.9355252631578947,8,1,4,0.25
config8.sh,dipsy.in,106626,0.87308,0.00000,0.9701044444444443,16,1,4,0.25
config8.sh,lala.in,53441,0.88605,0.00000,0.9845311111111111,8,1,4,0.25
config2.sh,dipsy.in,58679,0.85641,0.00000,0.9014805263157895,16,1,4,0.25
config2.sh,lala.in,7564,0.71354,0.00000,0.7510510526315791,5,1,4,0.25
config8.sh,lala.in,12612,0.79330,0.00000,0.8815255555555556,5,1,4,0.25
